Make,Model,Price,Year,Mileage,Fuel
Mercedes Benz,A 160,12800 €,2016,92000 km,Benzin
Mercedes Benz,G 350,77000 €,2016,118000 km,Dizel
Peugeot,407,3600 €,2008,220000 km,Dizel
Volkswagen,Golf 5,4400 €,2004,305748 km,Dizel
Renault,Megane,12000 €,2020,179657 km,Dizel
Mercedes Benz,ML 350,22400 €,2013,209000 km,Dizel
Opel,Mokka,18950 €,2022,23000 km,Benzin
BMW,X2,20450 €,2019,152000 km,Dizel
Nissan,Juke,15950 €,2020,73000 km,Benzin
Renault,Megane,12950 €,2018,129000 km,Dizel
Opel,Astra,6250 €,2009,174763 km,Dizel
Peugeot,208,6450 €,2013,158503 km,Benzin
Volkswagen,Golf 6,6950 €,2013,207761 km,Dizel
Ford,C-Max,6750 €,2011,209364 km,Dizel
Audi,A4,11950 €,2013,236440 km,Dizel
Ford,Kuga,12950 €,2014,215490 km,Dizel
BMW,116,9450 €,2012,179979 km,Dizel
Mercedes Benz,C 300,30000 €,2018,153800 km,Dizel
BMW,X4,40000 €,2019,52000 km,Benzin
Opel,Mokka,9600 €,2013,207000 km,Dizel
Volkswagen,Golf Plus,5300 €,2007,257000 km,Dizel
Volkswagen,Passat,17990 €,2018,195000 km,Dizel
Volkswagen,Golf 7,12949 €,2017,204000 km,Dizel
Volkswagen,Tiguan,20900 €,2018,229000 km,Dizel
Jeep,Grand Cherokee,25900 €,2014,190000 km,Dizel
Škoda,Superb,16750 €,2016,235000 km,Dizel
Renault,Talisman,13499 €,2017,220000 km,Dizel
Audi,A6,41500 €,2019,124500 km,Hibrid dizel
Citroen,C4 Picasso,5900 €,2012,200000 km,Dizel
Renault,Megane,12600 €,2020,164860 km,Dizel
Škoda,Octavia,7900 €,2012,252000 km,Dizel
Volkswagen,Passat,15900 €,2020,179000 km,Dizel
Chrysler,200,16900 €,2016,66000 km,Benzin
Volkswagen,Golf 8,19200 €,2020,220000 km,Dizel
Volkswagen,Tiguan,33500 €,2020,183000 km,Dizel
Audi,A6,25500 €,2016,238000 km,Dizel
Renault,Captur,15600 €,2020,162000 km,Dizel
Volkswagen,Golf 6,7400 €,2010,300000 km,Dizel
Suzuki,Vitara,15800 €,2019,60000 km,Benzin
Opel,Mokka,9700 €,2013,146700 km,Dizel
Dacia,Duster,6500 €,2010,178000 km,Dizel
Fiat,500L,9500 €,2013,99600 km,Benzin
Audi,Q8,67000 €,2019,225000 km,Hibrid dizel
Audi,A3,28950 €,2020,122000 km,Hibrid benzin
Volkswagen,Tiguan,24950 €,2021,146000 km,Dizel
BMW,318,20950 €,2020,154000 km,Dizel
Opel,Astra,20450 €,2023,68000 km,Benzin
Audi,A3,8500 €,2011,248000 km,Dizel
Nissan,Qashqai,12800 €,2014,213000 km,Dizel
Audi,A6,39780 €,2020,190000 km,Hibrid dizel
BMW,X3,31900 €,2019,136000 km,Dizel
Audi,Q5,31500 €,2017,219000 km,Dizel
Volkswagen,Touran,14000 €,2017,221000 km,Dizel
Audi,A8,40000 €,2015,165000 km,Dizel
Audi,A4,19650 €,2020,158000 km,Dizel
Volkswagen,T-Roc,18750 €,2019,168000 km,Dizel
Citroen,DS,17950 €,2020,184000 km,Dizel
Mini,One,14950 €,2021,135000 km,Benzin
Mercedes Benz,GLE 300,56950 €,2019,159000 km,Dizel
Land Rover,Defender,57850 €,2021,119000 km,Dizel
Ford,C-Max,7000 €,2011,173000 km,Dizel
Ford,Focus,6800 €,2012,176000 km,Dizel
Mercedes Benz,A 180,24500 €,2020,190000 km,Dizel
Peugeot,2008,8500 €,2015,146233 km,Benzin
Opel,Insignia,16800 €,2018,94000 km,Dizel
Audi,A6,37500 €,2019,139000 km,Hibrid dizel
