Make,Model,Price,Year,Mileage,Fuel,min_price,max_price,avg_price
Mercedes Benz,A 160,12800,2016,92000,Benzin,12800.0,12800.0,12800.0
Mercedes Benz,G 350,77000,2016,118000,Dizel,77000.0,77000.0,77000.0
Peugeot,407,3600,2008,220000,Dizel,2800.0,3600.0,3200.0
Volkswagen,Golf 5,4400,2004,305748,Dizel,2800.0,6000.0,4169.736842105263
Renault,Megane,12000,2020,179657,Dizel,9900.0,17000.0,12678.57142857143
Mercedes Benz,ML 350,22400,2013,209000,Dizel,22400.0,23000.0,22700.0
Opel,Mokka,18950,2022,23000,Benzin,18950.0,22950.0,20616.666666666668
BMW,X2,20450,2019,152000,Dizel,20450.0,21500.0,20975.0
Nissan,Juke,15950,2020,73000,Benzin,15950.0,15950.0,15950.0
Renault,Megane,12950,2018,129000,Dizel,8900.0,13000.0,10958.823529411764
Opel,Astra,6250,2009,174763,Dizel,3300.0,6250.0,4262.5
Peugeot,208,6450,2013,158503,Benzin,5700.0,6450.0,6075.0
Volkswagen,Golf 6,6950,2013,207761,Dizel,6950.0,7500.0,7237.5
Ford,C-Max,6750,2011,209364,Dizel,5700.0,7000.0,6612.5
Audi,A4,11950,2013,236440,Dizel,8300.0,15500.0,11543.75
Ford,Kuga,12950,2014,215490,Dizel,12950.0,13000.0,12975.0
BMW,116,9450,2012,179979,Dizel,6200.0,12800.0,9670.0
Mercedes Benz,C 300,30000,2018,153800,Dizel,30000.0,30000.0,30000.0
BMW,X4,40000,2019,52000,Benzin,40000.0,40000.0,40000.0
Opel,Mokka,9600,2013,207000,Dizel,9600.0,11500.0,10440.0
Volkswagen,Golf Plus,5300,2007,257000,Dizel,3999.0,5500.0,4826.846153846154
Volkswagen,Passat,17990,2018,195000,Dizel,12800.0,27000.0,17306.666666666668
Volkswagen,Golf 7,12949,2017,204000,Dizel,10800.0,25000.0,14857.128205128205
Volkswagen,Tiguan,20900,2018,229000,Dizel,20900.0,29900.0,24021.53846153846
Jeep,Grand Cherokee,25900,2014,190000,Dizel,18500.0,25900.0,22200.0
